Country/Area,Technology,Grid Connection,Year,Heat Generation (TJ)
Hungary,Oil,Combined Heat and Power (CHP),2019,8.0
Hungary,Oil,Combined Heat and Power (CHP),2020,15.0
Hungary,Oil,Combined Heat and Power (CHP),2021,15.6
Hungary,Oil,Combined Heat and Power (CHP),2022,14.8
Hungary,Natural gas,Heat (Commercial),2000,16739.0
Hungary,Natural gas,Heat (Commercial),2001,18017.0
Hungary,Natural gas,Heat (Commercial),2002,17247.0
Hungary,Natural gas,Heat (Commercial),2003,16800.0
Hungary,Natural gas,Heat (Commercial),2004,17444.0
Hungary,Natural gas,Heat (Commercial),2005,17296.0
Hungary,Natural gas,Heat (Commercial),2006,15852.0
Hungary,Natural gas,Heat (Commercial),2007,13573.0
Hungary,Natural gas,Heat (Commercial),2008,12158.0
Hungary,Natural gas,Heat (Commercial),2009,10976.0
Hungary,Natural gas,Heat (Commercial),2010,11879.0
Hungary,Natural gas,Heat (Commercial),2011,14657.0
Hungary,Natural gas,Heat (Commercial),2012,19722.0
Hungary,Natural gas,Heat (Commercial),2013,20156.0
Hungary,Natural gas,Heat (Commercial),2014,19480.0
Hungary,Natural gas,Heat (Commercial),2015,22533.0
Hungary,Natural gas,Heat (Commercial),2016,21206.0
Hungary,Natural gas,Heat (Commercial),2017,21150.0
Hungary,Natural gas,Heat (Commercial),2018,19690.0
Hungary,Natural gas,Heat (Commercial),2019,18939.0
Hungary,Natural gas,Heat (Commercial),2020,19206.0
Hungary,Natural gas,Heat (Commercial),2021,19930.0
Hungary,Natural gas,Heat (Commercial),2022,17255.0
Hungary,Natural gas,Combined Heat and Power (CHP),2000,27052.0
Hungary,Natural gas,Combined Heat and Power (CHP),2001,33263.0
Hungary,Natural gas,Combined Heat and Power (CHP),2002,26334.0
Hungary,Natural gas,Combined Heat and Power (CHP),2003,29612.0
Hungary,Natural gas,Combined Heat and Power (CHP),2004,31127.0
Hungary,Natural gas,Combined Heat and Power (CHP),2005,33739.0
Hungary,Natural gas,Combined Heat and Power (CHP),2006,32624.0
Hungary,Natural gas,Combined Heat and Power (CHP),2007,30503.0
Hungary,Natural gas,Combined Heat and Power (CHP),2008,31222.0
Hungary,Natural gas,Combined Heat and Power (CHP),2009,30097.0
Hungary,Natural gas,Combined Heat and Power (CHP),2010,29590.0
Hungary,Natural gas,Combined Heat and Power (CHP),2011,22786.0
Hungary,Natural gas,Combined Heat and Power (CHP),2012,18592.0
Hungary,Natural gas,Combined Heat and Power (CHP),2013,16638.0
Hungary,Natural gas,Combined Heat and Power (CHP),2014,14858.0
Hungary,Natural gas,Combined Heat and Power (CHP),2015,13607.0
Hungary,Natural gas,Combined Heat and Power (CHP),2016,14379.0
Hungary,Natural gas,Combined Heat and Power (CHP),2017,14646.0
Hungary,Natural gas,Combined Heat and Power (CHP),2018,13942.0
Hungary,Natural gas,Combined Heat and Power (CHP),2019,14384.0
Hungary,Natural gas,Combined Heat and Power (CHP),2020,14500.0
Hungary,Natural gas,Combined Heat and Power (CHP),2021,16524.0
Hungary,Natural gas,Combined Heat and Power (CHP),2022,14245.0
Hungary,Nuclear,Combined Heat and Power (CHP),2000,606.0
Hungary,Nuclear,Combined Heat and Power (CHP),2001,630.0
Hungary,Nuclear,Combined Heat and Power (CHP),2002,603.0
Hungary,Nuclear,Combined Heat and Power (CHP),2003,652.0
Hungary,Nuclear,Combined Heat and Power (CHP),2004,633.0
Hungary,Nuclear,Combined Heat and Power (CHP),2005,669.0
Hungary,Nuclear,Combined Heat and Power (CHP),2006,594.0
Hungary,Nuclear,Combined Heat and Power (CHP),2007,540.0
Hungary,Nuclear,Combined Heat and Power (CHP),2008,554.0
Hungary,Nuclear,Combined Heat and Power (CHP),2009,509.0
Hungary,Nuclear,Combined Heat and Power (CHP),2010,502.0
Hungary,Nuclear,Combined Heat and Power (CHP),2011,508.0
Hungary,Nuclear,Combined Heat and Power (CHP),2012,528.0
Hungary,Nuclear,Combined Heat and Power (CHP),2013,505.0
Hungary,Nuclear,Combined Heat and Power (CHP),2014,778.0
Hungary,Nuclear,Combined Heat and Power (CHP),2015,602.0
Hungary,Nuclear,Combined Heat and Power (CHP),2016,649.0
Hungary,Nuclear,Combined Heat and Power (CHP),2017,637.0
Hungary,Nuclear,Combined Heat and Power (CHP),2018,620.0
Hungary,Nuclear,Combined Heat and Power (CHP),2019,585.0
Hungary,Nuclear,Combined Heat and Power (CHP),2020,504.0
Hungary,Nuclear,Combined Heat and Power (CHP),2021,388.0
Hungary,Nuclear,Combined Heat and Power (CHP),2022,378.0
Hungary,Other non-renewable energy,Heat (Commercial),2014,1661.0
Hungary,Other non-renewable energy,Heat (Commercial),2015,1713.0
Hungary,Other non-renewable energy,Heat (Commercial),2016,2363.0
Hungary,Other non-renewable energy,Heat (Commercial),2017,2931.0
Hungary,Other non-renewable energy,Heat (Commercial),2018,2992.0
Hungary,Other non-renewable energy,Heat (Commercial),2019,3521.0
Hungary,Other non-renewable energy,Heat (Commercial),2020,3161.0
Hungary,Other non-renewable energy,Heat (Commercial),2021,3474.5
Hungary,Other non-renewable energy,Heat (Commercial),2022,3456.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2000,407.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2001,399.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2002,308.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2003,212.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2004,198.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2005,388.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2006,509.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2007,498.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2008,538.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2009,528.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2010,538.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2011,473.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2012,487.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2013,1439.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2014,592.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2015,745.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2016,1157.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2017,485.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2018,523.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2019,524.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2020,649.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2021,719.0
Hungary,Other non-renewable energy,Combined Heat and Power (CHP),2022,787.0
Iceland,Renewable municipal waste,Heat (Commercial),2000,23.0
Iceland,Renewable municipal waste,Heat (Commercial),2001,23.0
Iceland,Renewable municipal waste,Heat (Commercial),2002,28.0
Iceland,Renewable municipal waste,Heat (Commercial),2003,28.0
Iceland,Renewable municipal waste,Heat (Commercial),2004,28.0
Iceland,Renewable municipal waste,Heat (Commercial),2005,28.0
Iceland,Renewable municipal waste,Heat (Commercial),2006,28.0
Iceland,Renewable municipal waste,Heat (Commercial),2007,20.0
Iceland,Renewable municipal waste,Heat (Commercial),2008,17.0
Iceland,Renewable municipal waste,Heat (Commercial),2009,13.0
Iceland,Renewable municipal waste,Heat (Commercial),2010,14.0
Iceland,Geothermal energy,Heat (Commercial),2000,12552.0
Iceland,Geothermal energy,Heat (Commercial),2001,12859.0
Iceland,Geothermal energy,Heat (Commercial),2002,13133.0
Iceland,Geothermal energy,Heat (Commercial),2003,13111.0
Iceland,Geothermal energy,Heat (Commercial),2004,13402.0
Iceland,Geothermal energy,Heat (Commercial),2005,13703.0
Iceland,Geothermal energy,Heat (Commercial),2006,13870.0
Iceland,Geothermal energy,Heat (Commercial),2007,14442.0
Iceland,Geothermal energy,Heat (Commercial),2008,15098.0
Iceland,Geothermal energy,Heat (Commercial),2009,15177.0
Iceland,Geothermal energy,Heat (Commercial),2010,15114.0
Iceland,Geothermal energy,Heat (Commercial),2011,15044.0
Iceland,Geothermal energy,Heat (Commercial),2012,16083.0
Iceland,Geothermal energy,Heat (Commercial),2013,15987.0
Iceland,Geothermal energy,Heat (Commercial),2014,16608.0
Iceland,Geothermal energy,Heat (Commercial),2015,19004.0
Iceland,Geothermal energy,Heat (Commercial),2016,18656.1
Iceland,Geothermal energy,Heat (Commercial),2017,19215.8
Iceland,Geothermal energy,Heat (Commercial),2018,22661.2
Iceland,Geothermal energy,Heat (Commercial),2019,23370.1
Iceland,Geothermal energy,Heat (Commercial),2020,24104.2
Iceland,Geothermal energy,Heat (Commercial),2021,24871.7
Iceland,Geothermal energy,Heat (Commercial),2022,23579.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2000,5046.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2001,5096.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2002,5188.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2003,5182.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2004,5292.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2005,5418.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2006,5473.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2007,5759.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2008,5914.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2009,5804.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2010,5750.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2011,5772.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2012,6158.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2013,6073.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2014,5835.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2015,6869.0
Iceland,Geothermal energy,Combined Heat and Power (CHP),2016,8520.1
Iceland,Geothermal energy,Combined Heat and Power (CHP),2017,9896.62
Iceland,Geothermal energy,Combined Heat and Power (CHP),2018,10160.1
Iceland,Geothermal energy,Combined Heat and Power (CHP),2019,9668.8
Iceland,Geothermal energy,Combined Heat and Power (CHP),2020,11412.9
Iceland,Geothermal energy,Combined Heat and Power (CHP),2021,11273.2
Iceland,Geothermal energy,Combined Heat and Power (CHP),2022,11378.0
Iceland,Oil,Heat (Commercial),2000,20.0
Iceland,Oil,Heat (Commercial),2001,20.0
Iceland,Oil,Heat (Commercial),2002,20.0
Iceland,Oil,Heat (Commercial),2003,20.0
Iceland,Oil,Heat (Commercial),2007,38.0
Iceland,Oil,Heat (Commercial),2008,37.0
Iceland,Oil,Heat (Commercial),2009,23.0
Iceland,Oil,Heat (Commercial),2010,11.0
Iceland,Oil,Heat (Commercial),2011,37.0
Iceland,Oil,Heat (Commercial),2012,40.0
Iceland,Oil,Heat (Commercial),2013,37.0
Iceland,Oil,Heat (Commercial),2014,77.0
Iceland,Oil,Heat (Commercial),2015,33.0
Iceland,Oil,Heat (Commercial),2016,13.0
Iceland,Oil,Heat (Commercial),2017,61.482
Iceland,Oil,Heat (Commercial),2018,18.873
Iceland,Oil,Heat (Commercial),2019,16.499
Iceland,Oil,Heat (Commercial),2020,17.36
Iceland,Oil,Heat (Commercial),2021,14.75
Iceland,Oil,Heat (Commercial),2022,99.0
Iceland,Other non-renewable energy,Heat (Commercial),2000,595.0
Iceland,Other non-renewable energy,Heat (Commercial),2001,582.0
Iceland,Other non-renewable energy,Heat (Commercial),2002,637.0
Iceland,Other non-renewable energy,Heat (Commercial),2003,644.0
Iceland,Other non-renewable energy,Heat (Commercial),2004,644.0
Iceland,Other non-renewable energy,Heat (Commercial),2005,595.0
Iceland,Other non-renewable energy,Heat (Commercial),2006,586.0
Iceland,Other non-renewable energy,Heat (Commercial),2007,677.0
Iceland,Other non-renewable energy,Heat (Commercial),2008,654.0
Iceland,Other non-renewable energy,Heat (Commercial),2009,657.0
Iceland,Other non-renewable energy,Heat (Commercial),2010,660.0
Iceland,Other non-renewable energy,Heat (Commercial),2011,674.0
Iceland,Other non-renewable energy,Heat (Commercial),2012,652.0
Iceland,Other non-renewable energy,Heat (Commercial),2013,652.0
Iceland,Other non-renewable energy,Heat (Commercial),2014,665.0
Iceland,Other non-renewable energy,Heat (Commercial),2015,700.0
Iceland,Other non-renewable energy,Heat (Commercial),2016,711.0
Iceland,Other non-renewable energy,Heat (Commercial),2017,822.0
Iceland,Other non-renewable energy,Heat (Commercial),2018,887.267
Iceland,Other non-renewable energy,Heat (Commercial),2019,946.978
Iceland,Other non-renewable energy,Heat (Commercial),2020,950.064
Iceland,Other non-renewable energy,Heat (Commercial),2021,829.546
Iceland,Other non-renewable energy,Heat (Commercial),2022,802.0
Italy,Solar thermal energy,Heat (Commercial),2011,1.0
Italy,Solar thermal energy,Heat (Commercial),2012,1.0
Italy,Solar thermal energy,Heat (Commercial),2013,2.0
Italy,Solar thermal energy,Heat (Commercial),2014,2.0
Italy,Solar thermal energy,Heat (Commercial),2015,2.0
Italy,Solar thermal energy,Heat (Commercial),2016,3.0
Italy,Solar thermal energy,Heat (Commercial),2017,4.481
Italy,Solar thermal energy,Heat (Commercial),2018,5.875
Italy,Solar thermal energy,Heat (Commercial),2019,5.963
Italy,Solar thermal energy,Heat (Commercial),2020,8.04
Italy,Solar thermal energy,Heat (Commercial),2021,10.255
Italy,Solar thermal energy,Heat (Commercial),2022,8.726
Italy,Solid biofuels,Heat (Commercial),2010,2237.0
Italy,Solid biofuels,Heat (Commercial),2011,2667.0
Italy,Solid biofuels,Heat (Commercial),2012,3078.0
Italy,Solid biofuels,Heat (Commercial),2013,3092.0
Italy,Solid biofuels,Heat (Commercial),2014,2716.0
Italy,Solid biofuels,Heat (Commercial),2015,2940.0
Italy,Solid biofuels,Heat (Commercial),2016,3251.0
Italy,Solid biofuels,Heat (Commercial),2017,3276.46
Italy,Solid biofuels,Heat (Commercial),2018,3359.33
Italy,Solid biofuels,Heat (Commercial),2019,3574.13
Italy,Solid biofuels,Heat (Commercial),2020,4037.53
Italy,Solid biofuels,Heat (Commercial),2021,3740.66
Italy,Solid biofuels,Heat (Commercial),2022,3643.8
Italy,Solid biofuels,Combined Heat and Power (CHP),2004,3491.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2005,3888.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2006,3384.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2007,3390.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2008,3621.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2009,2535.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2010,3919.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2011,7630.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2012,11374.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2013,18571.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2014,22104.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2015,19281.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2016,19423.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2017,19495.0
Italy,Solid biofuels,Combined Heat and Power (CHP),2018,19172.8
Italy,Solid biofuels,Combined Heat and Power (CHP),2019,18080.4
Italy,Solid biofuels,Combined Heat and Power (CHP),2020,17136.4
Italy,Solid biofuels,Combined Heat and Power (CHP),2021,4635.92
Italy,Solid biofuels,Combined Heat and Power (CHP),2022,5074.89
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2004,2315.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2005,3002.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2006,4327.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2007,2780.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2008,3091.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2009,2340.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2010,2583.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2011,3581.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2012,2971.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2013,3488.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2014,3568.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2015,4519.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2016,4901.0
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2017,5201.99
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2018,5307.26
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2019,5518.35
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2020,5368.88
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2021,4623.75
Italy,Renewable municipal waste,Combined Heat and Power (CHP),2022,4289.71
Italy,Liquid biofuels,Heat (Commercial),2014,11.0
Italy,Liquid biofuels,Heat (Commercial),2015,9.0
Italy,Liquid biofuels,Heat (Commercial),2016,11.0
Italy,Liquid biofuels,Heat (Commercial),2017,25.291
Italy,Liquid biofuels,Heat (Commercial),2018,28.5
Italy,Liquid biofuels,Heat (Commercial),2019,30.545
Italy,Liquid biofuels,Heat (Commercial),2020,11.251
Italy,Liquid biofuels,Heat (Commercial),2021,13.001
Italy,Liquid biofuels,Heat (Commercial),2022,11.477
Italy,Liquid biofuels,Combined Heat and Power (CHP),2008,171.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2009,1172.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2010,1036.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2011,909.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2012,912.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2013,980.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2014,1379.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2015,1762.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2016,1814.0
Italy,Liquid biofuels,Combined Heat and Power (CHP),2017,1922.288
Italy,Liquid biofuels,Combined Heat and Power (CHP),2018,2133.88
Italy,Liquid biofuels,Combined Heat and Power (CHP),2019,2306.151
Italy,Liquid biofuels,Combined Heat and Power (CHP),2020,2378.918
Italy,Liquid biofuels,Combined Heat and Power (CHP),2021,723.001
Italy,Liquid biofuels,Combined Heat and Power (CHP),2022,430.691
Italy,Biogas,Heat (Commercial),2010,10.0
Italy,Biogas,Heat (Commercial),2011,11.0
Italy,Biogas,Heat (Commercial),2012,12.0
Italy,Biogas,Heat (Commercial),2013,11.0
Italy,Biogas,Heat (Commercial),2014,13.0
Italy,Biogas,Heat (Commercial),2015,11.0
Italy,Biogas,Heat (Commercial),2016,9.0
Italy,Biogas,Heat (Commercial),2017,6.275
Italy,Biogas,Heat (Commercial),2018,6.043
Italy,Biogas,Heat (Commercial),2019,5.539
Italy,Biogas,Heat (Commercial),2020,3.102
Italy,Biogas,Heat (Commercial),2021,2.518
Italy,Biogas,Heat (Commercial),2022,6.579
Italy,Biogas,Combined Heat and Power (CHP),2004,1082.0
Italy,Biogas,Combined Heat and Power (CHP),2005,1084.0
Italy,Biogas,Combined Heat and Power (CHP),2006,1107.0
Italy,Biogas,Combined Heat and Power (CHP),2007,690.0
Italy,Biogas,Combined Heat and Power (CHP),2008,685.0
Italy,Biogas,Combined Heat and Power (CHP),2009,814.0
Italy,Biogas,Combined Heat and Power (CHP),2010,1019.0
Italy,Biogas,Combined Heat and Power (CHP),2011,13685.0
Italy,Biogas,Combined Heat and Power (CHP),2012,5800.0
Italy,Biogas,Combined Heat and Power (CHP),2013,8406.0
Italy,Biogas,Combined Heat and Power (CHP),2014,9984.0
Italy,Biogas,Combined Heat and Power (CHP),2015,8593.0
Italy,Biogas,Combined Heat and Power (CHP),2016,8699.0
Italy,Biogas,Combined Heat and Power (CHP),2017,9456.02
Italy,Biogas,Combined Heat and Power (CHP),2018,8945.98
Italy,Biogas,Combined Heat and Power (CHP),2019,11480.2
Italy,Biogas,Combined Heat and Power (CHP),2020,11474.2
Italy,Biogas,Combined Heat and Power (CHP),2021,855.762
Italy,Biogas,Combined Heat and Power (CHP),2022,1153.87
Italy,Geothermal energy,Heat (Commercial),2010,589.0
Italy,Geothermal energy,Heat (Commercial),2011,589.0
Italy,Geothermal energy,Heat (Commercial),2012,650.0
Italy,Geothermal energy,Heat (Commercial),2013,650.0
Italy,Geothermal energy,Heat (Commercial),2014,764.0
Italy,Geothermal energy,Heat (Commercial),2015,780.0
Italy,Geothermal energy,Heat (Commercial),2016,810.0
Italy,Geothermal energy,Heat (Commercial),2017,793.361
Italy,Geothermal energy,Heat (Commercial),2018,877.62
Italy,Geothermal energy,Heat (Commercial),2019,870.208
Italy,Geothermal energy,Heat (Commercial),2020,871.513
Italy,Geothermal energy,Heat (Commercial),2021,1072.34
Italy,Geothermal energy,Heat (Commercial),2022,1074.4
Italy,Other renewable energy,Heat (Commercial),2022,135.977
Italy,Coal and peat,Combined Heat and Power (CHP),2004,4589.0
Italy,Coal and peat,Combined Heat and Power (CHP),2005,5372.0
Italy,Coal and peat,Combined Heat and Power (CHP),2006,4595.0
Italy,Coal and peat,Combined Heat and Power (CHP),2007,2596.0
Italy,Coal and peat,Combined Heat and Power (CHP),2008,1888.0
Italy,Coal and peat,Combined Heat and Power (CHP),2009,1003.0
Italy,Coal and peat,Combined Heat and Power (CHP),2010,2261.0
Italy,Coal and peat,Combined Heat and Power (CHP),2011,2927.0
Italy,Coal and peat,Combined Heat and Power (CHP),2012,4875.0
Italy,Coal and peat,Combined Heat and Power (CHP),2013,4133.0
Italy,Coal and peat,Combined Heat and Power (CHP),2014,4061.0
Italy,Coal and peat,Combined Heat and Power (CHP),2015,6119.0
Italy,Coal and peat,Combined Heat and Power (CHP),2016,7292.0
Italy,Coal and peat,Combined Heat and Power (CHP),2017,6237.82
Italy,Coal and peat,Combined Heat and Power (CHP),2018,4370.05
Italy,Coal and peat,Combined Heat and Power (CHP),2019,6532.36
Italy,Coal and peat,Combined Heat and Power (CHP),2020,3898.36
Italy,Coal and peat,Combined Heat and Power (CHP),2021,1313.15
Italy,Coal and peat,Combined Heat and Power (CHP),2022,1427.11
Italy,Oil,Heat (Commercial),2017,85.576
Italy,Oil,Heat (Commercial),2018,174.711
Italy,Oil,Heat (Commercial),2019,169.248
Italy,Oil,Heat (Commercial),2020,139.802
Italy,Oil,Heat (Commercial),2021,172.031
Italy,Oil,Heat (Commercial),2022,153.12
Italy,Oil,Combined Heat and Power (CHP),2004,61788.0
Italy,Oil,Combined Heat and Power (CHP),2005,55792.0
Italy,Oil,Combined Heat and Power (CHP),2006,71928.0
Italy,Oil,Combined Heat and Power (CHP),2007,68432.0
Italy,Oil,Combined Heat and Power (CHP),2008,64656.0
Italy,Oil,Combined Heat and Power (CHP),2009,62531.0
Italy,Oil,Combined Heat and Power (CHP),2010,60272.0
Italy,Oil,Combined Heat and Power (CHP),2011,57909.0
Italy,Oil,Combined Heat and Power (CHP),2012,45477.0
Italy,Oil,Combined Heat and Power (CHP),2013,44885.0
Italy,Oil,Combined Heat and Power (CHP),2014,34094.0
Italy,Oil,Combined Heat and Power (CHP),2015,32725.0
Italy,Oil,Combined Heat and Power (CHP),2016,33785.0
Italy,Oil,Combined Heat and Power (CHP),2017,32189.9
Italy,Oil,Combined Heat and Power (CHP),2018,31641.7
Italy,Oil,Combined Heat and Power (CHP),2019,28380.0
Italy,Oil,Combined Heat and Power (CHP),2020,31387.8
Italy,Oil,Combined Heat and Power (CHP),2021,140.784
Italy,Oil,Combined Heat and Power (CHP),2022,901.404
Italy,Natural gas,Heat (Commercial),2017,9341.06
Italy,Natural gas,Heat (Commercial),2018,10467.4
Italy,Natural gas,Heat (Commercial),2019,9860.02
Italy,Natural gas,Heat (Commercial),2020,10360.2
Italy,Natural gas,Heat (Commercial),2021,11081.7
Italy,Natural gas,Heat (Commercial),2022,9736.26
Italy,Natural gas,Combined Heat and Power (CHP),2004,112884.0
Italy,Natural gas,Combined Heat and Power (CHP),2005,120822.0
Italy,Natural gas,Combined Heat and Power (CHP),2006,119038.0
Italy,Natural gas,Combined Heat and Power (CHP),2007,123607.0
Italy,Natural gas,Combined Heat and Power (CHP),2008,121037.0
Italy,Natural gas,Combined Heat and Power (CHP),2009,107959.0
Italy,Natural gas,Combined Heat and Power (CHP),2010,128832.0
Italy,Natural gas,Combined Heat and Power (CHP),2011,125619.0
Italy,Natural gas,Combined Heat and Power (CHP),2012,128827.0
Italy,Natural gas,Combined Heat and Power (CHP),2013,128597.0
Italy,Natural gas,Combined Heat and Power (CHP),2014,123634.0
Italy,Natural gas,Combined Heat and Power (CHP),2015,135467.0
Italy,Natural gas,Combined Heat and Power (CHP),2016,138653.0
Italy,Natural gas,Combined Heat and Power (CHP),2017,139833.0
Italy,Natural gas,Combined Heat and Power (CHP),2018,137408.0
Italy,Natural gas,Combined Heat and Power (CHP),2019,138709.0
Italy,Natural gas,Combined Heat and Power (CHP),2020,135977.0
Italy,Natural gas,Combined Heat and Power (CHP),2021,59850.0
Italy,Natural gas,Combined Heat and Power (CHP),2022,53160.3
Italy,Other non-renewable energy,Heat (Commercial),2022,510.633
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2004,3427.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2005,3104.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2006,4520.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2007,2916.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2008,3224.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2009,2466.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2010,2583.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2011,3581.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2012,3009.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2013,3594.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2014,3624.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2015,4738.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2016,5199.0
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2017,5551.75
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2018,5657.87
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2019,5879.76
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2020,5857.03
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2021,4623.75
Italy,Other non-renewable energy,Combined Heat and Power (CHP),2022,4289.71
Japan,Coal and peat,Heat (Commercial),2000,631.0
Japan,Coal and peat,Heat (Commercial),2001,565.0
Japan,Coal and peat,Heat (Commercial),2002,718.0
Japan,Coal and peat,Heat (Commercial),2003,686.0
Japan,Coal and peat,Heat (Commercial),2004,475.0
Japan,Coal and peat,Heat (Commercial),2005,553.0
Japan,Coal and peat,Heat (Commercial),2006,544.0
Japan,Coal and peat,Heat (Commercial),2007,539.0
Japan,Coal and peat,Heat (Commercial),2008,521.0
Japan,Coal and peat,Heat (Commercial),2021,6446.0
Japan,Coal and peat,Heat (Commercial),2022,5866.0
Japan,Oil,Heat (Commercial),2000,1496.0
Japan,Oil,Heat (Commercial),2001,1352.0
Japan,Oil,Heat (Commercial),2002,1405.0
Japan,Oil,Heat (Commercial),2003,1267.0
Japan,Oil,Heat (Commercial),2004,1239.0
Japan,Oil,Heat (Commercial),2005,893.0
Japan,Oil,Heat (Commercial),2006,588.0
Japan,Oil,Heat (Commercial),2007,411.0
Japan,Oil,Heat (Commercial),2008,367.0
Japan,Oil,Heat (Commercial),2009,293.0
Japan,Oil,Heat (Commercial),2010,777.0
